source_id,doi,title,availability_status,primary_fulltext_type,primary_local_path,successful_artifact_count,failed_attempt_count,failure_reasons,last_checked_at
LIT_1C53CDD04C7F51D9,10.1016/j.cpart.2007.03.004,Effect of process conditions on the synthesis of carbon nanotubes by catalytic decomposition of methane,unavailable,,,0,2,html_landing_page_not_fulltext; http_502,2026-07-16T02:25:29Z
LIT_39F3A33F8EF32BBD,10.1155/2014/547030,Catalytic Chemical Vapor Deposition of Methane to Carbon Nanotubes: Copper Promoted Effect of Ni/MgO Catalysts,unavailable,,,0,3,http_403,2026-07-16T02:25:31Z
LIT_AB19A8D536DD7DF2,10.1016/j.catcom.2023.106703,Evaluation of highly active and stable SiO2 supported Fe-based catalysts for the catalytic methane decomposition into COx free hydrogen and CNTs,available,pdf,data/raw/fulltext/pdf/LIT_AB19A8D536DD7DF2_569e5348c49a.pdf,1,5,html_landing_page_not_fulltext; http_403; unsupported_or_unrecognized_content,2026-07-16T02:26:04Z
LIT_849AD7FB325763D1,10.1186/1556-276x-7-102,Growth of few-wall carbon nanotubes with narrow diameter distribution over Fe-Mo-MgO catalyst by methane/acetylene catalytic decomposition,available,pdf,data/raw/fulltext/pdf/LIT_849AD7FB325763D1_2016a474a858.pdf,2,1,html_landing_page_not_fulltext,2026-07-16T02:07:49Z
LIT_1D29A53AB15BB0B9,10.1016/j.ceramint.2019.10.107,Optimization of CNTs growth on TiB2-based composite powders by CVD with Fe as catalyst,unavailable,,,0,3,html_landing_page_not_fulltext; http_403,2026-07-16T02:26:12Z
LIT_3D2FAA624663FA97,10.2298/ciceq0904263r,Synthesis of high-purity carbon nanotubes over alumina and silica supported bimetallic catalysts,available,pdf,data/raw/fulltext/pdf/LIT_3D2FAA624663FA97_1e9b942be324.pdf,1,2,"URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1032)>; html_landing_page_not_fulltext",2026-07-16T02:40:36Z
LIT_63D8BEBA898137D6,10.1016/j.matlet.2008.05.011,Optimization of synthesis condition for carbon nanotubes by chemical vapor deposition on Fe–Ni–Mo/MgO catalyst,unavailable,,,0,2,html_landing_page_not_fulltext; http_502,2026-07-16T03:22:57Z
LIT_401BD476DB8344E9,10.3390/chemengineering6040047,Hydrogen and CNT Production by Methane Cracking Using Ni–Cu and Co–Cu Catalysts Supported on Argan-Derived Carbon,available,pdf,data/raw/fulltext/pdf/LIT_401BD476DB8344E9_c5509cc9f27c.pdf,1,6,URLError:<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)>; html_landing_page_not_fulltext; http_403,2026-07-16T03:23:56Z
LIT_A2A3774653FE8DDC,10.5402/2011/684748,Growth of Vertically Aligned Carbon Nanotubes on Silicon Using a Sparked Iron-Cobalt Catalyst,unavailable,,,0,2,http_403,2026-07-16T04:03:28Z
LIT_B6DA758AB9D1C00B,10.15761/fnn.1000156,Synthesis of few-wall carbon nanotubes using methanol/ propanol mixture by chemical vapour deposition,available,pdf,data/raw/fulltext/pdf/LIT_B6DA758AB9D1C00B_faf738762392.pdf,1,0,,2026-07-16T04:03:41Z
LIT_70D04C497CE224FD,10.1088/2053-1591/ac327b,Production and characterization of carbon nanotubes by methane decomposition over Ni–Fe/Al<sub>2</sub>O<sub>3</sub> catalyst and its application as nanofillers in polypropylene matrix,unavailable,,,0,2,html_landing_page_not_fulltext,2026-07-16T04:03:50Z
LIT_A590E23A531DD9BE,10.13140/rg.2.2.21343.15520,Carbon nanotube production from greenhouse gases during syngas synthesis,available,pdf,data/raw/fulltext/pdf/LIT_A590E23A531DD9BE_68c0bb0c6778.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:04:35Z
LIT_02606F92F0B40447,,CVD synthesis of nitrogen doped carbon nanotubes using iron pentacarbonyl as catalyst,available,pdf,data/raw/fulltext/pdf/LIT_02606F92F0B40447_5a652c09254e.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:05:19Z
LIT_4C9F9F626FE8A7BC,,Characterization of carbon nanotubes grown by chemical vapour deposition,available,pdf,data/raw/fulltext/pdf/LIT_4C9F9F626FE8A7BC_5b720809f4c0.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T02:09:12Z
LIT_F71FE83AF8BAF6E7,10.1063/1.4926415,"Gas phase synthesis of non-bundled, small diameter single-walled carbon nanotubes with near-armchair chiralities",available,pdf,data/raw/fulltext/pdf/LIT_F71FE83AF8BAF6E7_044347eeec7c.pdf,1,2,http_403,2026-07-16T02:26:27Z
LIT_4C5EB40B8CD80C4F,10.1016/j.cej.2020.126103,Selective synthesis of carbon nanotubes by catalytic decomposition of methane using Co-Cu/cellulose derived carbon catalysts: A comprehensive kinetic study,available,pdf,data/raw/fulltext/pdf/LIT_4C5EB40B8CD80C4F_2301a19be788.pdf,1,2,URLError:<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)>; html_landing_page_not_fulltext,2026-07-16T04:05:38Z
LIT_1393A68CF2AF9C25,10.1016/j.cej.2019.123073,Fine-tuning of spark-discharge aerosol CVD reactor for single-walled carbon nanotube growth: The role of ex situ nucleation,unavailable,,,0,3,html_landing_page_not_fulltext; http_403,2026-07-16T04:05:51Z
LIT_777170442739602C,10.3390/catal11111353,Upcycling Waste Plastics into Multi-Walled Carbon Nanotube Composites via NiCo2O4 Catalytic Pyrolysis,available,pdf,data/raw/fulltext/pdf/LIT_777170442739602C_86db57eb7b63.pdf,1,8,html_landing_page_not_fulltext; http_403; unsupported_or_unrecognized_content,2026-07-16T04:06:33Z
LIT_CB3728625EE36E64,10.1590/s0103-50532012000500012,Support effect on carbon nanotube growth by methane chemical vapor deposition on cobalt catalysts,available,html,data/raw/fulltext/html/LIT_CB3728625EE36E64_1f4086793b91.html,1,2,TimeoutError:The read operation timed out; TimeoutError:timed out,2026-07-16T02:12:38Z
LIT_543F809E5E23B349,10.1155/2019/4642859,Synthesis of MWCNT Forests with Alumina-Supported Fe<sub>2</sub>O<sub>3</sub> Catalyst by Using a Floating Catalyst Chemical Vapor Deposition Technique,unavailable,,,0,2,http_403,2026-07-16T04:06:39Z
LIT_522D359ADEDCFF7B,10.1590/s0103-50532006000600009,Different carbon nanostructured materials obtained in catalytic chemical vapor deposition,available,pdf,data/raw/fulltext/pdf/LIT_522D359ADEDCFF7B_dc323875b69f.pdf,1,0,,2026-07-16T04:06:47Z
LIT_42CA430104DA72AA,10.1155/2008/425195,CVD Synthesis of Hierarchical 3D MWCNT/Carbon‐Fiber Nanostructures,available,pdf,data/raw/fulltext/pdf/LIT_42CA430104DA72AA_66eb0daffee5.pdf,1,3,html_landing_page_not_fulltext; http_403,2026-07-16T02:26:39Z
LIT_6A5D5568EBD1E558,10.4236/jsemat.2014.44023,Microwave Plasma Enhanced Chemical Vapor Deposition of Carbon Nanotubes,available,pdf,data/raw/fulltext/pdf/LIT_6A5D5568EBD1E558_df369881dc50.pdf,1,0,,2026-07-16T04:06:56Z
LIT_A67692827E9AD9EF,10.3390/nano14110965,"Structural, Electrical, and Optical Properties of Single-Walled Carbon Nanotubes Synthesized through Floating Catalyst Chemical Vapor Deposition",available,pdf,data/raw/fulltext/pdf/LIT_A67692827E9AD9EF_b3037bce977e.pdf,1,1,http_403,2026-07-16T04:07:13Z
LIT_92CE5863384224D6,10.3144/expresspolymlett.2014.21,Preparation and characterization of polyamide 6 nanocomposites using MWCNTs based on bimetallic Co-Mo/MgO catalyst,available,pdf,data/raw/fulltext/pdf/LIT_92CE5863384224D6_aceb0ba9cdc2.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:07:26Z
LIT_3B5A2676F1FE1646,10.1007/s13203-021-00264-0,Ni-γ-AL2O3 catalysts for obtaining nanocarbon by decomposition of natural gas,available,pdf,data/raw/fulltext/pdf/LIT_3B5A2676F1FE1646_93a73cbd3a65.pdf,1,0,,2026-07-16T04:07:35Z
LIT_0EF1DDE74B15E559,10.3390/catal14040282,Catalytic Decomposition of CH4 to Hydrogen and Carbon Nanotubes Using the Pt(1)-Fe(30)/MCM-41 Catalyst,unavailable,,,0,2,http_403,2026-07-16T04:07:38Z
LIT_E95F6638C71EC3C6,10.1155/2016/4189456,"Catalytic Synthesis of Substrate-Free, Aligned and Tailored High Aspect Ratio Multiwall Carbon Nanotubes in an Ultrasonic Atomization Head CVD Reactor",unavailable,,,0,4,html_landing_page_not_fulltext; http_403,2026-07-16T04:07:43Z
LIT_1A6943689C60163D,10.1088/1742-6596/1349/1/012059,Utilization of camphor as an alternative carbon source for the synthesis of carbon nanotubes using floating catalyst,unavailable,,,0,1,html_landing_page_not_fulltext,2026-07-16T04:07:47Z
LIT_697F549224B22272,10.3390/nano13152172,Comparing Ultralong Carbon Nanotube Growth from Methane over Mono- and Bi-Metallic Iron Chloride Catalysts,available,html,data/raw/fulltext/html/LIT_697F549224B22272_95c719f38e91.html,1,6,URLError:<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)>; html_landing_page_not_fulltext; http_403,2026-07-16T04:08:38Z
LIT_457907E83D33368E,10.3390/nano11123293,Single-Walled Carbon Nanotube Synthesis Yield Variation in a Horizontal Chemical Vapor Deposition Reactor,available,html,data/raw/fulltext/html/LIT_457907E83D33368E_d657f359f1dc.html,1,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:08:50Z
LIT_C726D1011E035C35,10.1038/s41598-025-99439-1,Dual function NiMo/MgO catalyst for biogas valorization to syngas and carbon nanotubes,available,pdf,data/raw/fulltext/pdf/LIT_C726D1011E035C35_6d9fbe5e3695.pdf,1,0,,2026-07-16T04:09:05Z
LIT_60DFC6A582109902,10.3390/c4020037,Single Wall Carbon Nanotubes Synthesis through Methane Chemical Vapor Deposition over MCM-41–Co Catalysts: Variables Optimization,unavailable,,,0,4,http_403,2026-07-16T04:09:16Z
LIT_6AFA1A90B4346BB2,10.2298/hemind140910005g,Synthesis of single-walled carbon nanotube networks using monodisperse metallic nanocatalysts encapsulated in reverse micelles,unavailable,,,0,2,"URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1032)>; html_landing_page_not_fulltext",2026-07-16T04:09:31Z
LIT_4BDFD588A5A5F5AA,,Process Parameters for Successful Synthesis of Carbon Nanotubes by Chemical Vapor Deposition: Implications for Chemical Mechanisms and Life-cycle Assessment,available,pdf,data/raw/fulltext/pdf/LIT_4BDFD588A5A5F5AA_1344c7750b6a.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:09:47Z
LIT_6731BD3F12EC3922,10.1016/j.cartre.2025.100538,Substrate polishing and CO2 addition promote long growths of vertically aligned carbon nanotube carpets on aluminum foils by one-step CVD,available,pdf,data/raw/fulltext/pdf/LIT_6731BD3F12EC3922_c5205b472274.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:10:22Z
LIT_EB28A99EB5E9DC87,10.5772/19331,Carbon Nanotube Synthesis and Growth Mechanism,available,pdf,data/raw/fulltext/pdf/LIT_EB28A99EB5E9DC87_726f5ead70d8.pdf,1,0,,2026-07-16T04:10:34Z
LIT_5D2B63B0DDC58EBA,10.3390/mi14071288,Improvement of Hybrid Electrode Material Synthesis for Energy Accumulators Based on Carbon Nanotubes and Porous Structures,available,html,data/raw/fulltext/html/LIT_5D2B63B0DDC58EBA_7ae988894967.html,1,4,html_landing_page_not_fulltext; http_403,2026-07-16T04:10:53Z
LIT_C218734AA7F3AF9E,10.1016/j.cej.2019.122010,Roles of sulfur in floating-catalyst CVD growth of single-walled carbon nanotubes for transparent conductive film applications,available,pdf,data/raw/fulltext/pdf/LIT_C218734AA7F3AF9E_e4935d687e31.pdf,1,2,html_landing_page_not_fulltext; unsupported_or_unrecognized_content,2026-07-16T04:11:16Z
LIT_FBC1DDD86139179A,10.1143/jjap.47.1944,Growth Mechanism of Carbon Nanotubes over Gold-Supported Catalysts,available,pdf,data/raw/fulltext/pdf/LIT_FBC1DDD86139179A_bc7b53adb2fa.pdf,1,0,,2026-07-16T04:14:24Z
LIT_6A642308FB267069,10.1016/j.carbon.2017.06.001,Synthesis of single-walled carbon nanotubes from atomic-layer-deposited Co3O4 and Co3O4/Fe2O3 catalyst films,unavailable,,,0,4,html_landing_page_not_fulltext; http_403; unsupported_or_unrecognized_content,2026-07-16T04:14:35Z
LIT_F6F6FDC0AA3C72A9,10.1155/2008/971457,Synthesis and Optimization of MWCNTs on Co-Ni/MgO by Thermal CVD,unavailable,,,0,2,http_403,2026-07-16T04:14:38Z
LIT_E8DE06415D694B2B,10.1155/2014/707301,Effect of Different Catalyst Deposition Technique on Aligned Multiwalled Carbon Nanotubes Grown by Thermal Chemical Vapor Deposition,unavailable,,,0,3,http_403,2026-07-16T04:14:44Z
LIT_3BDCD8F9895BE659,10.1063/1.3552306,X-ray photoelectron spectroscopy study on Fe and Co catalysts during the first stages of ethanol chemical vapor deposition for single-walled carbon nanotube growth,available,pdf,data/raw/fulltext/pdf/LIT_3BDCD8F9895BE659_ad8a37d0aa53.pdf,1,0,,2026-07-16T04:14:48Z
LIT_DB283D1C5235DA93,10.3390/nano14010075,Bayesian Optimization of Wet-Impregnated Co-Mo/Al2O3 Catalyst for Maximizing the Yield of Carbon Nanotube Synthesis,unavailable,,,0,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:14:58Z
LIT_54330E2C79FE4C21,10.3390/nano11010050,Effects of Catalyst Pretreatment on Carbon Nanotube Synthesis from Methane Using Thin Stainless-Steel Foil as Catalyst by Chemical Vapor Deposition Method,unavailable,,,0,6,html_landing_page_not_fulltext; http_403; http_404,2026-07-16T04:15:34Z
LIT_CF3766DB7A5E26B9,10.1093/ce/zkz012,Application of carbon nanotubes prepared from CH4/CO2 over Ni/MgO catalysts in CO2 capture using a BEA–AMP bi-solvent blend,unavailable,,,0,2,http_403,2026-07-16T04:15:37Z
LIT_22EBBAD83D250478,10.1155/2013/421503,Catalyst Design Using Nanoporous Iron for the Chemical Vapor Deposition Synthesis of Single‐Walled Carbon Nanotubes,unavailable,,,0,3,http_403,2026-07-16T04:15:40Z
LIT_71A66ACE3835B00D,10.14716/ijtech.v9i1.1165,The Effect of Metal Loading on the Performance of Tri-metallic Supported Catalyst for Carbon Nanotubes Synthesis from Liquefied Petroleum Gas,available,pdf,data/raw/fulltext/pdf/LIT_71A66ACE3835B00D_993a74362b45.pdf,1,0,,2026-07-16T04:15:50Z
LIT_169EACB657CC8523,10.1007/s11696-023-02737-z,Optimization of nickel catalyst loading in Ni/γAl2O3 for producing carbon nanotubes through natural gas decomposition,available,pdf,data/raw/fulltext/pdf/LIT_169EACB657CC8523_b8b0f725610b.pdf,1,0,,2026-07-16T04:16:10Z
LIT_40599004C06DDDF0,10.1002/eem2.70108,Direct Greenhouse Gases Conversion to Few‐Walled Carbon Nanotubes: Optimization of Dual‐Step Process Overcoming Single‐Step Limitations,unavailable,,,0,2,http_403,2026-07-16T04:16:18Z
LIT_619441B609804F78,10.3390/ijms24076686,Bithiophene as a Sulfur-Based Promotor for the Synthesis of Carbon Nanotubes and Carbon-Carbon Composites,unavailable,,,0,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:16:27Z
LIT_1E6FDA57E370EFB9,10.1016/j.cej.2025.168000,Controllable growth transition from single-walled to double-walled carbon nanotubes using sulfur in an aerosol CVD reactor,unavailable,,,0,3,html_landing_page_not_fulltext; http_403,2026-07-16T04:16:34Z
LIT_F64EACA2D669B320,10.13140/rg.2.1.2915.7283,Development of an aerosol-CVD technique for the production of CNTs with integrated online control,available,pdf,data/raw/fulltext/pdf/LIT_F64EACA2D669B320_5c200581f9cb.pdf,1,1,html_landing_page_not_fulltext,2026-07-16T04:18:02Z
LIT_AE42008958B41BB3,10.2478/v10026-008-0028-0,Preparation and characterization of catalyst mix Fe-Co/MgO for carbon nanotubes growth,unavailable,,,0,2,http_403,2026-07-16T04:18:23Z
LIT_F7D0F5C6CBE17B59,10.3390/c4010016,Silica Precursor Effect on the Physical and Chemical Properties of Cobalt Incorportated MCM-41 Catalysts and Their Performance towards Single Wall Carbon Nanotubes,unavailable,,,0,3,http_403,2026-07-16T04:18:30Z
LIT_53B8BE52F01169BD,10.3390/inorganics13040113,Synthesis of Multiwalled Carbon Nanotubes on Different Cobalt Nanoparticle-Based Substrates,unavailable,,,0,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:18:37Z
LIT_9E6CDAC43CB4999A,10.17760/d10018633,Controlled growth of uniform diameter multi-wall carbon nanotube arrays via chemical vapor deposition for application in field emission devices,unavailable,,,0,2,http_403,2026-07-16T02:26:44Z
LIT_8ABD0883366B39EE,10.1051/e3sconf/202340203023,Mathematical modelling of the carbon nanotubes synthesis by methane pyrolysis on a copper catalyst based on the approximation approach,available,pdf,data/raw/fulltext/pdf/LIT_8ABD0883366B39EE_9853cf4d8e14.pdf,1,0,,2026-07-16T04:18:50Z
LIT_F5C517498209ABBA,10.3390/nano7100284,Synthesis of Multi-Walled Carbon Nanotubes from Plastic Waste Using a Stainless-Steel CVD Reactor as Catalyst,available,html,data/raw/fulltext/html/LIT_F5C517498209ABBA_7f13c21ac393.html,1,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:19:05Z
LIT_CC1837EDE2344C3D,10.1039/d0ra07440c,Hydrogen production <i>via</i> thermocatalytic decomposition of methane using carbon-based catalysts,available,html,data/raw/fulltext/html/LIT_CC1837EDE2344C3D_4a1df55cbef8.html,1,4,html_landing_page_not_fulltext; http_403,2026-07-16T04:19:21Z
LIT_71A4E4C2BB4AEDD8,10.1038/s41598-024-55836-6,"Comprehensive investigation of isotherm, RSM, and ANN modeling of CO2 capture by multi-walled carbon nanotube",available,pdf,data/raw/fulltext/pdf/LIT_71A4E4C2BB4AEDD8_e638e20da586.pdf,1,0,,2026-07-16T04:21:11Z
LIT_6C1D6D8880AEB493,10.1590/s1516-14392014005000070,Optimization of ethanol flow rate for improved catalytic activity of Ni particles to synthesize MWCNTs using a CVD reactor,available,pdf,data/raw/fulltext/pdf/LIT_6C1D6D8880AEB493_9265bde897db.pdf,1,4,URLError:<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)>; http_502,2026-07-16T04:24:22Z
LIT_ACDFBAEA33554788,10.1002/pssr.202400310,Enhanced Nanoporosity of Single‐Walled Carbon Nanotube Network,unavailable,,,0,2,http_403,2026-07-16T04:24:26Z
LIT_FE82BF8DB86FE9C1,10.1039/c7ra04882c,Carbon nanotubes synthesis using carbonization of pretreated rice straw through chemical vapor deposition of camphor,unavailable,,,0,2,http_403,2026-07-16T04:24:29Z
LIT_0868010ABB2FC74E,10.2109/jcersj2.118.963,Vertically aligned carbon nanotubes synthesized from waste cooking palm oil,available,pdf,data/raw/fulltext/pdf/LIT_0868010ABB2FC74E_0d5010349876.pdf,1,0,,2026-07-16T04:24:33Z
LIT_AFA5F6070C3053B2,10.3390/catal10080890,Revealing the Effect of Nickel Particle Size on Carbon Formation Type in the Methane Decomposition Reaction,unavailable,,,0,4,http_403,2026-07-16T04:24:38Z
LIT_58B091070B8AC565,10.1007/s40089-018-0252-4,Effect of chemical vapor deposition parameters on the diameter of multi-walled carbon nanotubes,available,pdf,data/raw/fulltext/pdf/LIT_58B091070B8AC565_0788779913fa.pdf,1,0,,2026-07-16T04:24:51Z
LIT_7F0D271A0CEB3037,10.1021/acsomega.7b00858,Enhanced Carbon Nanotubes Growth Using Nickel/Ferrocene-Hybridized Catalyst,available,html,data/raw/fulltext/html/LIT_7F0D271A0CEB3037_f0e15e141158.html,1,4,html_landing_page_not_fulltext; http_403,2026-07-16T04:25:06Z
LIT_FBF94DA058373640,10.1155/2012/451473,Raman Spectroscopic Study of Carbon Nanotubes Prepared Using Fe/ZnO‐Palm Olein‐Chemical Vapour Deposition,unavailable,,,0,2,http_403,2026-07-16T04:25:09Z
LIT_FB76AA75976322C2,10.1007/s12274-009-9076-x,"The dynamics of the nucleation, growth and termination of single-walled carbon nanotubes from in situ Raman spectroscopy during chemical vapor deposition",available,pdf,data/raw/fulltext/pdf/LIT_FB76AA75976322C2_02b54e4c1e57.pdf,1,0,,2026-07-16T04:25:15Z
LIT_010B9BF252F13139,10.1021/acsnano.4c15449,"Measurement of High Carbon Nanotube Growth Rate, Mass Production, Agglomeration, and Length in a Floating Catalyst Chemical Vapor Deposition Reactor",available,pdf,data/raw/fulltext/pdf/LIT_010B9BF252F13139_42df7ef02687.pdf,1,1,http_403,2026-07-16T04:25:29Z
LIT_427378A0096D943B,10.3390/nano9111590,Single-Step Synthesis of Vertically Aligned Carbon Nanotube Forest on Aluminium Foils,available,pdf,data/raw/fulltext/pdf/LIT_427378A0096D943B_f8e072dd7343.pdf,1,3,html_landing_page_not_fulltext; http_403,2026-07-16T04:25:52Z
LIT_80C20A08235D3B9F,10.1155/2016/8106845,Effect of Reaction Temperature on Carbon Yield and Morphology of CNTs on Copper Loaded Nickel Nanoparticles,unavailable,,,0,2,http_403,2026-07-16T04:25:58Z
LIT_CF56A19ED6BBCB01,10.3390/catal12030287,Effect of a Metallocene Catalyst Mixture on CNT Yield Using the FC-CVD Process,unavailable,,,0,3,http_403,2026-07-16T04:26:02Z
LIT_9B43B350883D2B6F,10.3390/polym14142898,Corn Cob Char as Catalyst Support for Developing Carbon Nanotubes from Waste Polypropylene Plastics: Comparison of Activation Techniques,available,pdf,data/raw/fulltext/pdf/LIT_9B43B350883D2B6F_e71cdb9862d6.pdf,1,6,html_landing_page_not_fulltext; http_403,2026-07-16T04:26:27Z
LIT_0682357008FA0412,10.1186/s13065-025-01460-y,A novel fabrication method of vertically aligned carbon nanotubes by single-stage floating catalyst CVD,available,pdf,data/raw/fulltext/pdf/LIT_0682357008FA0412_dc85e16355b1.pdf,1,0,,2026-07-16T04:26:41Z
LIT_9B1D9A7023DB7A6C,10.3390/nano12111817,The Use of Diatomite as a Catalyst Carrier for the Synthesis of Carbon Nanotubes,unavailable,,,0,5,html_landing_page_not_fulltext; http_403,2026-07-16T04:26:51Z
LIT_B737792873D4A97E,10.18321/ectj865,Synthesis of Carbon Nanotubes from High-Density Polyethylene Waste,available,pdf,data/raw/fulltext/pdf/LIT_B737792873D4A97E_1ae38bdd4502.pdf,1,0,,2026-07-16T04:26:55Z
LIT_E143C2299B8F1763,10.2109/jcersj2.118.983,Characterization of multi-walled carbon nanotubes (MWNTs) synthesized by CCVD using zeolite template from acetylene,available,pdf,data/raw/fulltext/pdf/LIT_E143C2299B8F1763_d7b83e9f0ac5.pdf,1,0,,2026-07-16T04:27:02Z
LIT_0E4C2827EA357D8F,10.21608/iccee.2008.38363,KINETICS OF ACETYLENE DECOMPOSITION OVER REDUCED STRONTIUM HEXAFERRITES CATALYST FOR THE PRODUCTION OF CARBON NANOTUBES,unavailable,,,0,2,http_502,2026-07-16T04:30:33Z
LIT_FBB61BB3B58BBBCC,10.1063/1.1499746,Temperature selective growth of carbon nanotubes by chemical vapor deposition,available,pdf,data/raw/fulltext/pdf/LIT_FBB61BB3B58BBBCC_5cf4f0256e5f.pdf,1,0,,2026-07-16T04:30:52Z
LIT_94D32BA662BC711A,10.1007/s11051-009-9667-1,The effect of Fe and Ni catalysts on the growth of multiwalled carbon nanotubes using chemical vapor deposition,available,pdf,data/raw/fulltext/pdf/LIT_94D32BA662BC711A_27b562cb73bb.pdf,1,0,,2026-07-16T04:30:56Z
LIT_2E5E5533DDFEBB53,10.1155/2018/2898326,Synthesis of Carbon Nanomaterials from Rice Husk via Microwave Oven,unavailable,,,0,3,http_403,2026-07-16T04:31:00Z
LIT_11E2BBB5F0B2D893,10.1038/s41598-017-10055-0,Influence of synthesis parameters on CCVD growth of vertically aligned carbon nanotubes over aluminum substrate,available,pdf,data/raw/fulltext/pdf/LIT_11E2BBB5F0B2D893_921dff6692b3.pdf,1,0,,2026-07-16T04:31:10Z
LIT_E099468AD3074B0A,10.1016/j.carbon.2022.10.044,Machine learning methods for aerosol synthesis of single-walled carbon nanotubes,available,pdf,data/raw/fulltext/pdf/LIT_E099468AD3074B0A_1098b4217f42.pdf,1,4,html_landing_page_not_fulltext; http_403; unsupported_or_unrecognized_content,2026-07-16T02:40:42Z
LIT_2F272009882C0471,10.1155/2018/9236450,Fast-LPG Sensors at Room Temperature by <i>α</i>-Fe<sub>2</sub>O<sub>3</sub>/CNT Nanocomposite Thin Films,unavailable,,,0,3,http_403,2026-07-16T04:31:15Z
